,Date,rel_return_same_day
199,10/16/2009,-0.202588779
200,10/19/2009,-0.193139817
201,10/20/2009,-0.198388022
202,10/21/2009,-0.168486199
203,10/22/2009,-0.202848555
204,10/23/2009,-0.19141962
205,10/26/2009,-0.191467652
206,10/27/2009,-0.208999095
207,10/28/2009,-0.204962242
208,10/29/2009,-0.201925553
209,10/30/2009,-0.206956356
210,11/2/2009,-0.199946545
211,11/3/2009,-0.199583035
212,11/4/2009,-0.191554466
213,11/5/2009,-0.198629582
214,11/6/2009,-0.195361053
215,11/9/2009,-0.190122707
216,11/10/2009,-0.190649993
217,11/11/2009,-0.200398214
218,11/12/2009,-0.19385237
219,11/13/2009,-0.192443759
220,11/16/2009,-0.197945645
221,11/17/2009,-0.195869241
222,11/18/2009,-0.198740774
223,11/19/2009,-0.207566802
224,11/20/2009,-0.194632277
225,11/23/2009,-0.185746798
226,11/24/2009,-0.199822962
227,11/25/2009,-0.202652067
228,11/27/2009,-0.199525815
229,11/30/2009,-0.204549731
230,12/1/2009,-0.220024129
231,12/2/2009,-0.207224737
232,12/3/2009,-0.191760941
233,12/4/2009,-0.216268642
234,12/7/2009,-0.214081109
235,12/8/2009,-0.191086889
236,12/9/2009,-0.172344163
237,12/10/2009,-0.208349019
238,12/11/2009,-0.209048392
239,12/14/2009,-0.189790086
240,12/15/2009,-0.202436541
241,12/16/2009,-0.194683378
242,12/17/2009,-0.202450298
243,12/18/2009,-0.191437315
244,12/21/2009,-0.195965239
245,12/22/2009,-0.198177954
246,12/23/2009,-0.196781139
247,12/24/2009,-0.181273739
248,12/28/2009,-0.19985442
249,12/29/2009,-0.210842096
250,12/30/2009,-0.192047888
251,12/31/2009,-0.200284019
252,1/4/2010,-0.205332071
253,1/5/2010,-0.204134432
254,1/6/2010,-0.214743191
255,1/7/2010,-0.209934623
256,1/8/2010,-0.199111803
257,1/11/2010,-0.208411449
258,1/12/2010,-0.204167103
259,1/13/2010,-0.194760581
260,1/14/2010,-0.206351913
261,1/15/2010,-0.212177087
262,1/19/2010,-0.185296833
263,1/20/2010,-0.209845411
264,1/21/2010,-0.20024285
265,1/22/2010,-0.22169134
266,1/25/2010,-0.195292011
267,1/26/2010,-0.200534606
268,1/27/2010,-0.201561805
269,1/28/2010,-0.211114593
270,1/29/2010,-0.22483947
271,2/1/2010,-0.197660417
272,2/2/2010,-0.209027031
273,2/3/2010,-0.18371638
274,2/4/2010,-0.201109483
275,2/5/2010,-0.189732992
276,2/8/2010,-0.200763061
277,2/9/2010,-0.202321614
278,2/10/2010,-0.203559544
279,2/11/2010,-0.194665685
280,2/12/2010,-0.199413861
281,2/16/2010,-0.201392413
282,2/17/2010,-0.207063023
283,2/18/2010,-0.201581944
284,2/19/2010,-0.205203632
